timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
27/09/2015 23:00,337,12,12,82,7.5,3,0,1,2
01/05/2015 14:00,1515,12,12,47,22,2,0,0,0
27/01/2015 11:00,763,8,5,71,19,2,0,0,3
18/10/2016 14:00,1283,14,14,48,28,2,0,0,2
29/12/2016 16:00,1211,6,4.5,87,6.5,1,0,0,3
13/06/2016 16:00,1519,17,17,83,16,7,0,0,1
15/06/2015 03:00,46,12,12,82,15,4,0,0,1
11/03/2016 01:00,106,3.5,3.5,90,2,1,0,0,0
06/04/2016 20:00,915,9,5,56,29.5,2,0,0,0
06/09/2016 23:00,454,20,20,78,9,3,0,0,2
31/03/2015 08:00,3297,11,11,58,46,3,0,0,0
04/01/2015 07:00,75,1,-1,100,7,4,0,1,3
17/09/2016 15:00,2556,16,16,83,22,4,0,1,2
17/03/2016 06:00,571,2.5,0,90,9,2,0,0,0
26/11/2016 11:00,1572,8,6.5,82,8,1,0,1,2
07/07/2015 04:00,49,16.5,16.5,66,7,1,0,0,1
13/02/2016 15:00,834,5.5,1.5,78.5,23,7,0,1,3
01/03/2015 07:00,136,8,5,71,20.5,2,0,1,0
12/04/2016 02:00,31,10,8,82,15,7,0,0,0
01/05/2015 19:00,1624,10,7,58,24,2,0,0,0
08/06/2016 08:00,4672,18,18,83,2,1,0,0,1
01/05/2016 06:00,107,5.5,4.5,78.5,6,1,0,1,0
12/02/2016 03:00,51,3.5,0.5,87,10,2,0,0,3
26/04/2015 23:00,296,8,7.5,84.5,3,1,0,1,0
13/09/2016 20:00,1782,24.5,24.5,63,15,1,0,0,2
04/08/2016 23:00,720,18,18,70.5,18.5,2,0,0,1
14/08/2015 22:00,475,17,17,88,10,2,0,0,1
18/12/2015 10:00,1040,14,14,77,18,2,0,0,3
12/04/2016 06:00,650,9,8,87,9,2,0,0,0
25/02/2016 01:00,78,1,1,84,2,1,0,0,3
12/02/2016 05:00,96,4,1,87,11,2,0,0,3
21/10/2015 08:00,2139,11,11,88,15,7,0,0,2
04/05/2015 06:00,132,12.5,12.5,77,18.5,3,1,0,0
14/12/2016 14:00,1211,14,14,67,14,1,0,0,3
02/01/2017 00:00,84,5,2,87,13,1,1,0,3
16/03/2015 01:00,69,6,4,87,10,7,0,0,0
26/03/2016 11:00,1131,12,12,82,30.5,3,0,1,0
15/07/2015 05:00,122,18,18,94,10,7,0,0,1
01/11/2016 19:00,1907,11,11,69.5,12,3,0,0,2
01/12/2016 18:00,2607,6.5,3.5,81,14,1,0,0,3
18/11/2016 11:00,944,7,3.5,66,20.5,2,0,0,2
29/09/2015 16:00,2173,17,17,54,24,1,0,0,2
01/12/2015 07:00,1915,14,14,82,23,3,0,0,3
06/10/2016 06:00,709,13,13,57,13,3,0,0,2
12/03/2015 17:00,3035,11,11,42.5,12,1,0,0,0
27/10/2016 03:00,57,11,11,94,11,3,0,0,2
12/08/2016 20:00,1902,22,22,56.5,27,1,0,0,1
13/11/2016 18:00,857,8,8,87,4,2,0,1,2
20/01/2016 15:00,960,5.5,4.5,68,6,2,0,0,3
05/07/2016 06:00,823,16,16,77,24,3,0,0,1
08/09/2016 04:00,63,17,17,80,10,1,0,0,2
03/04/2016 14:00,2696,15,15,55,11,1,0,1,0
08/11/2015 22:00,358,16,16,83,25,2,0,1,2
10/07/2015 06:00,718,16,16,68,9,1,0,0,1
21/06/2015 17:00,2509,19.5,19.5,46,26,2,0,1,1
12/11/2015 10:00,1094,15,15,79.5,18.5,2,0,0,2
05/04/2015 05:00,71,7,7,84,2,7,0,1,0
23/08/2016 03:00,65,17,17,83,0,1,0,0,1
07/01/2015 09:00,1714,8,5,76,19,3,0,0,3
15/10/2015 10:00,1083,11,11,72,15,3,0,0,2
12/09/2016 10:00,1179,22,22,59,17,2,0,0,2
03/12/2015 13:00,1144,13,13,77,19,2,0,0,3
10/08/2015 05:00,139,18,18,83,18,4,0,0,1
27/01/2015 19:00,1539,8,4.5,71,22,3,0,0,3
25/09/2015 09:00,2388,13.5,13.5,74.5,12,2,0,0,2
09/03/2015 01:00,79,6,5,81,6.5,1,0,0,0
12/12/2015 07:00,207,8,7,71,6.5,2,0,1,3
02/04/2015 10:00,847,8,6,62,12,2,0,0,0
03/05/2015 13:00,1569,18,18,68.5,22,3,0,1,0
21/10/2016 18:00,2621,12,12,77,10,3,0,0,2
15/01/2016 08:00,3590,3,-1.5,75,19.5,2,0,0,3
03/05/2015 06:00,193,12,12,94,18,7,0,1,0
22/08/2015 05:00,122,17,17,88,5,1,0,1,1
06/10/2015 22:00,478,15,15,94,11,7,0,0,2
14/10/2015 08:00,4727,8,7,82,7,1,0,0,2
31/10/2015 16:00,2122,14,14,82,11,1,0,1,2
23/09/2016 12:00,1845,18.5,18.5,43,8,1,0,0,2
18/10/2016 07:00,2472,12,12,82,18,1,0,0,2
31/12/2015 21:00,369,8,5,73.5,19.5,1,0,0,3
20/01/2016 19:00,1478,2.5,2,81,5,1,0,0,3
27/04/2016 12:00,1142,9.5,7,43,18.5,7,0,0,0
28/03/2015 14:00,1651,13,13,77,29.5,4,0,1,0
10/01/2016 04:00,63,7.5,4.5,73.5,21,1,0,1,3
23/10/2015 23:00,635,12.5,12.5,69.5,9,4,0,0,2
29/06/2016 14:00,787,15.5,15.5,82.5,28,7,0,0,1
24/03/2015 23:00,289,5,3,81,9,1,0,0,0
30/01/2015 15:00,911,6,2.5,71,19.5,3,0,0,3
26/02/2016 07:00,1704,1.5,-1.5,72.5,9,2,0,0,3
09/05/2016 05:00,138,14,14,74.5,10,1,0,0,0
19/07/2016 21:00,1855,23.5,23.5,67,18,1,0,0,1
07/03/2015 09:00,869,11.5,11.5,60,19.5,1,0,1,0
07/03/2016 14:00,727,7,3.5,55,22,7,0,0,0
20/03/2015 11:00,832,6,6,81,4,3,0,0,0
30/01/2016 19:00,655,6,2,63.5,22,1,0,1,3
03/06/2015 18:00,4096,18.5,18.5,38.5,13,1,0,0,1
24/11/2015 01:00,50,8,4,82,25,7,0,0,2
22/09/2016 03:00,89,16,16,80,6.5,1,0,0,2
18/05/2015 23:00,292,10,7,67,23,2,0,0,0
17/08/2016 15:00,2048,24.5,24.5,45.5,18,1,0,0,1
21/06/2015 04:00,204,15,15,82,19.5,4,0,1,1
12/08/2016 05:00,135,16,16,83,16,1,0,0,1
17/07/2016 10:00,1631,23.5,23.5,67,19,2,0,1,1
30/07/2016 02:00,437,18.5,18.5,75.5,12,3,0,1,1
07/04/2015 15:00,1646,17.5,17.5,45.5,9,1,0,0,0
08/09/2016 05:00,171,17.5,17.5,77.5,8,1,0,0,2
01/12/2015 15:00,1044,14.5,14.5,65,25,3,0,0,3
25/06/2015 13:00,1575,23,22.5,42.5,14,1,0,0,1
08/08/2015 05:00,143,15,15,91,4,3,0,1,1
28/11/2016 03:00,27,8,5,62,15,4,0,0,2
06/02/2015 00:00,215,1.5,-2.5,72.5,16,3,0,0,3
31/12/2016 04:00,50,6.5,4.5,93,11,4,0,1,3
07/07/2015 03:00,68,18,18,62,7.5,1,0,0,1
23/11/2016 14:00,1044,11,11,77,14,2,0,0,2
15/11/2015 23:00,251,14,14,67,27,4,0,1,2
06/04/2016 16:00,1496,11.5,11.5,45.5,40.5,2,0,0,0
23/11/2015 06:00,513,2,0,87,6,1,0,0,2
23/12/2016 13:00,1214,11,11,77,33,4,0,0,3
02/03/2016 04:00,34,6,1.5,76,28,2,0,0,0
18/06/2015 01:00,198,19,19,73,21,4,0,0,1
30/04/2015 06:00,731,7,4,76,15,1,0,0,0
15/11/2015 17:00,1139,15,15,77,26,3,0,1,2
07/11/2015 20:00,842,14,14,77,28,1,0,1,2
19/09/2016 00:00,275,18,18,73,6.5,4,0,0,2
11/05/2015 19:00,2405,18,18,60,20,1,0,0,0
15/12/2015 17:00,1130,12,12,88,11,7,0,0,3
16/08/2015 09:00,832,16.5,16.5,63.5,6,2,0,1,1
30/05/2015 22:00,723,12,12,69.5,15,1,0,1,0
02/02/2015 16:00,1185,3,-1,60,15,2,0,0,3
28/11/2016 18:00,2825,6,3,71,14,1,0,0,2
15/06/2015 09:00,2135,14,14,63,19.5,2,0,0,1
05/01/2015 19:00,1274,9,6.5,71,14,3,0,0,3
15/11/2016 07:00,2305,13,13,94,17.5,4,0,0,2
03/03/2016 09:00,2000,5.5,1.5,68,19.5,2,0,0,0
19/08/2016 06:00,627,17,17,88,7,1,0,0,1
10/04/2016 16:00,2124,10.5,8.5,60,38,1,0,1,0
11/04/2015 02:00,255,11.5,11.5,79.5,13,4,0,1,0
22/11/2016 10:00,992,12,12,63,30,2,0,0,2
14/09/2016 09:00,2708,24.5,24.5,63,17,1,0,0,2
24/03/2015 17:00,2777,9,9,58,4,7,0,0,0
15/08/2015 01:00,371,16,16,88,11,7,0,1,1
08/09/2016 23:00,715,17,17,73,12,1,0,0,2
01/12/2015 11:00,763,14,14,72,33,3,0,0,3
02/03/2016 21:00,557,6,1.5,76,28.5,3,0,0,0
19/03/2015 01:00,120,7,5,81,11,4,0,0,0
28/12/2015 06:00,68,10,9,82,8.5,1,1,0,3
13/01/2015 08:00,3960,9,6.5,71,16,2,0,0,3
12/11/2016 13:00,648,10,8.5,88,10,7,0,1,2
15/04/2015 07:00,2393,13.5,13.5,65,5.5,1,0,0,0
15/10/2016 12:00,2229,15.5,15.5,70,14,2,0,1,2
27/06/2015 14:00,2964,23.5,22.5,38.5,19,1,0,1,1
08/02/2015 03:00,133,4,1,81,11,3,0,1,3
20/05/2015 22:00,704,12.5,12.5,56.5,8,1,0,0,0
07/04/2015 21:00,707,12,12,77,7.5,1,0,0,0
24/11/2015 10:00,755,10,8,73.5,15,3,0,0,2
01/10/2016 22:00,465,11.5,11.5,85,12,1,0,1,2
08/01/2016 16:00,1384,8,6,82,11,2,0,0,3
28/08/2016 01:00,566,21,21,78,11,3,0,1,1
29/04/2015 10:00,855,11,9.5,77,24,7,0,0,0
24/11/2016 01:00,98,11,11,82,20.5,4,0,0,2
09/11/2016 11:00,555,8,4.5,84.5,26.5,7,0,0,2
07/08/2015 08:00,4098,18.5,18.5,62,6,2,0,0,1
09/04/2015 10:00,1041,8.5,6.5,93.5,10,3,0,0,0
