timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
09/09/2015 11:00,1016,16.5,16.5,75,12,3,0,0,2
16/08/2016 18:00,4719,20,20,56,23,2,0,0,1
11/01/2015 01:00,255,4,-0.5,75,22,1,0,1,3
28/09/2015 07:00,2124,10,10,94,6,2,0,0,2
19/06/2016 19:00,1244,17,17,77,19.5,7,0,1,1
09/07/2016 12:00,2619,24,24,57,27.5,2,0,1,1
05/12/2015 18:00,960,13.5,13.5,65,37,3,0,1,3
01/04/2016 11:00,1035,11.5,11.5,48.5,17,1,0,0,0
13/01/2016 13:00,959,7,4.5,59,16,1,0,0,3
07/04/2015 09:00,1633,9.5,9.5,71,5,1,0,0,0
31/12/2016 14:00,947,9,7,87,12,7,0,1,3
14/02/2016 04:00,51,4,2,87,7,7,0,1,3
13/10/2016 17:00,3623,12.5,12.5,69.5,25,3,0,0,2
18/03/2015 10:00,944,6.5,4,78.5,13,3,0,0,0
11/12/2016 14:00,1838,10.5,9.5,74,18,2,0,1,3
29/12/2016 05:00,53,1.5,-0.5,96.5,6.5,1,0,0,3
25/12/2016 09:00,830,12.5,12.5,79.5,26,4,0,1,3
05/07/2016 10:00,1238,17.5,17.5,64,24,2,0,0,1
08/02/2016 19:00,1256,9,4,62,43.5,3,0,0,3
26/07/2016 04:00,74,16,16,77,11,1,0,0,1
01/07/2015 17:00,4617,34,34,33,20.5,1,0,0,1
08/05/2015 08:00,3744,11,11,74.5,6,3,0,0,0
17/01/2016 01:00,184,2,1,87,3.5,7,0,1,3
14/04/2016 02:00,84,11.5,11.5,69.5,8,1,0,0,0
17/06/2016 07:00,1796,14,14,88,10,3,0,0,1
26/10/2016 03:00,67,12,12,94,7.5,3,0,0,2
05/03/2016 00:00,303,2.5,2,78,3,1,0,1,0
20/02/2015 02:00,34,7.5,5.5,93,10,7,0,0,3
05/10/2016 15:00,1569,15.5,15.5,49.5,39,2,0,0,2
16/12/2015 14:00,883,15,15,79.5,22,3,0,0,3
30/08/2016 13:00,1802,25.5,25.5,35,9,1,0,0,1
14/01/2015 12:00,1013,6.5,2.5,59,27,2,0,0,3
25/01/2016 03:00,28,13,13,77,16.5,1,0,0,3
03/12/2015 15:00,1171,13,13,72,19,2,0,0,3
23/10/2015 04:00,53,12,12,72,5,4,0,0,2
09/01/2016 03:00,119,9,6.5,82,16,7,0,1,3
10/12/2016 07:00,212,12,12,94,11,4,0,1,3
26/03/2015 21:00,634,9,6,58,22,1,0,0,0
22/03/2016 06:00,659,4,3,87,6,1,0,0,0
24/05/2016 17:00,3982,16,16,48,24,2,0,0,0
21/05/2015 09:00,2363,14.5,14.5,57,14,1,0,0,0
18/11/2015 14:00,967,15,15,70,38,3,0,0,2
13/10/2015 04:00,42,9,6.5,84.5,16,1,0,0,2
06/10/2015 04:00,35,16,16,94,7,3,0,0,2
07/10/2016 03:00,98,14,14,65,13,3,0,0,2
02/08/2016 13:00,752,20.5,20.5,85.5,18,3,0,0,1
19/05/2016 10:00,1125,14,14,72,12,3,0,0,0
10/04/2015 03:00,64,8,7.5,90,5,1,0,0,0
03/08/2016 21:00,1280,18.5,18.5,70.5,26,3,0,0,1
10/09/2016 23:00,681,17,17,75,16,2,0,1,2
07/07/2015 02:00,129,17.5,17.5,66,6.5,1,0,0,1
24/04/2015 20:00,1219,14.5,14.5,65,18,1,0,0,0
15/04/2016 03:00,26,10,10,85,2,7,0,0,0
27/09/2016 16:00,2014,20,20,73,19.5,3,0,0,2
24/08/2015 02:00,120,14.5,14.5,88,8,1,0,0,1
19/11/2016 11:00,1600,7,4,68.5,18.5,1,0,1,2
18/06/2016 14:00,2382,16,16,68,16,3,0,1,1
10/12/2016 06:00,102,12,12,94,14,4,0,1,3
22/10/2016 12:00,2307,12,12,77,11,2,0,1,2
16/09/2016 06:00,242,18.5,18.5,91,16,10,0,0,2
05/12/2016 23:00,298,3,1.5,100,5.5,1,0,0,3
09/12/2015 23:00,512,12,12,69.5,27,3,0,0,3
18/04/2015 11:00,1944,12,12,58,29,2,0,1,0
19/06/2015 04:00,82,14,14,65,11,1,0,0,1
08/01/2016 09:00,1759,7.5,4.5,78.5,15,2,0,0,3
21/04/2016 09:00,2057,10.5,9,77,21,2,0,0,0
